date,nf_buy,nf_sell,wgap_buy,wgap_sell,open_drift_cost,open_minus_close_fill
2007-02-01,1.0,1.0,0.009563398113163535,0.00040480609797843847,0.009158592015185096,-0.003146175653939265
2007-05-01,1.0,1.0,0.0011044397478350287,-0.0016394840805038502,0.002743923828338879,0.007639924240499418
2007-09-04,1.0,1.0,0.0020970041469212664,-0.0032937265771655344,0.005390730724086801,-0.006454503711558646
2007-10-01,1.0,1.0,-0.00027212993986680534,0.005928153465259101,-0.006200283405125906,-0.009300133292247548
2008-05-01,1.0,1.0,-0.012599438320627043,-0.024697049647590674,0.012097611326963631,-0.003262120584237138
2008-06-02,1.0,1.0,-0.0017994965792249573,-0.004883650049468113,0.003084153470243156,-0.021283628141783528
2008-07-01,1.0,1.0,-0.003503871160136396,-0.007969099539823943,0.004465228379687547,-0.01460406909298917
2008-08-01,1.0,1.0,-0.006438741332870812,0.0006719669228030245,-0.007110708255673837,0.0015879967424298203
2008-09-02,1.0,1.0,-0.0009034356226843565,-0.04344627906179832,0.042542843439113964,-0.011133085241108676
2009-02-02,1.0,1.0,-0.015660939036365118,-0.00014315435518430508,-0.015517784681180813,-0.012640687060439082
2009-04-01,1.0,1.0,-0.020551766191320375,0.011741222562320575,-0.03229298875364095,0.04208241964658743
2009-07-01,1.0,1.0,0.005871033168584505,0.0062735396959106016,-0.0004025065273260964,-0.009058317473574329
2009-08-03,1.0,1.0,0.011103677596793426,0.009673144286490576,0.0014305333103028506,-0.0010285042316200421
2009-11-02,1.0,1.0,0.009460657683134421,0.0007390534485607336,0.008721604234573688,0.004840008041888777
2010-01-04,1.0,1.0,0.011375364084302841,0.02339019842824941,-0.012014834343946568,0.0009855165062035987
2010-04-01,1.0,1.0,0.004152839775189543,0.009105391098226168,-0.004952551323036625,0.0052887868753823675
2010-05-03,1.0,1.0,0.006346352218571605,0.00426470269160828,0.002081649526963325,0.0046803343242107776
2010-06-01,1.0,1.0,0.008411844070523422,-0.0055175842192261015,0.013929428289749524,0.016042039315166234
2010-08-02,1.0,1.0,-0.00010761662789582349,0.005455060130450828,-0.005562676758346652,0.004876050208453053
2010-09-01,1.0,1.0,0.01185665301950345,-0.00047401287479098553,0.012330665894294435,0.019160405950926718
2010-11-01,1.0,1.0,0.0017343612938975905,0.005464510207649154,-0.003730148913751563,-0.00011635842376844785
2010-12-01,1.0,1.0,0.01602323514006776,0.0021415488764080504,0.01388168626365971,0.0163463254864884
2011-01-03,1.0,1.0,0.009523974770770494,0.004847149161887554,0.00467682560888294,-0.0025679350977837467
2011-05-02,1.0,1.0,-0.00597222834207245,0.00211214821720751,-0.00808437655927996,0.008442507436625446
2011-06-01,1.0,1.0,-0.0015405580617366965,0.00013368265532287538,-0.001674240717059572,-0.023580609242308537
2011-07-01,1.0,1.0,-0.00849318830934287,0.002051906659939151,-0.01054509496928202,-0.0054418832395692895
2011-11-01,1.0,1.0,-0.022992554681490862,-0.01978007428606754,-0.0032124803954233228,-0.02860864572841293
2011-12-01,1.0,1.0,-0.002401677677173586,-0.003978563900459253,0.0015768862232856673,0.005632475964671313
2012-01-03,1.0,1.0,0.021264417390403745,0.018901471674804826,0.0023629457155989186,0.011171687651736928
2012-02-01,1.0,1.0,0.01333080953678567,0.009053081053547185,0.004277728483238485,0.013935929944342229
2012-04-02,1.0,1.0,-0.003795472640626074,-0.004541466184816878,0.0007459935441908039,0.009374967567320924
2012-05-01,1.0,1.0,-0.000670835232509992,3.3141478739118213e-07,-0.0006711666472973832,-0.004915476882238146
2012-06-01,1.0,1.0,0.00045092160246618107,-0.017185461716228367,0.01763638331869455,0.00875241070354682
2012-09-04,1.0,1.0,-0.0009789545429733648,0.00028445257074327657,-0.0012634071137166414,-0.006362011676349311
2012-11-01,1.0,1.0,0.0011388985153801823,-0.003892246086834139,0.005031144602214321,-0.01392119565200911
2013-01-02,1.0,1.0,-0.00023716669628914833,0.009072961251322287,-0.009310127947611435,0.001957350990682616
2013-02-01,1.0,1.0,0.0049979380805864615,0.00013058667982668304,0.0048673514007597785,0.014624106880157361
2013-09-03,1.0,1.0,0.00667566566857225,0.01201713646214908,-0.00534147079357683,-0.0002832188697742266
2013-11-01,1.0,1.0,0.003381439480509174,0.003276912440860924,0.00010452703964825005,-0.0002556234550464831
2014-01-02,1.0,1.0,-0.003357301144919611,-0.004661461174374493,0.0013041600294548816,-0.0032587883835958342
2014-02-03,1.0,1.0,-0.000487263899243251,-0.002297052333149252,0.001809788433906001,-0.009812290170628901
2014-03-03,1.0,1.0,-0.007947718808631321,-0.00853648489801262,0.0005887660893812985,0.004383427934373296
2014-05-01,1.0,1.0,-0.00138755183713124,-0.0011507587377816986,-0.00023679309934954151,0.0011934999499801924
2014-08-01,1.0,1.0,-0.002104884613873703,-0.0027940046502823446,0.0006891200364086414,0.003710713853805614
2014-12-01,1.0,1.0,-0.004388079756660779,-0.002735504960606261,-0.0016525747960545178,0.00033073158114127477
2015-02-02,1.0,1.0,-0.013041722560969915,0.0018105257991578583,-0.014852248360127773,0.003969689180108649
2015-03-02,1.0,1.0,0.008466039315024876,0.0029269656264785393,0.0055390736885463365,0.025875565488551522
2015-04-01,1.0,1.0,-0.002289074918475187,-0.0027655029517936747,0.0004764280333184878,0.000916813838134245
2015-05-01,1.0,1.0,0.0009676652168897348,0.0034087931121751236,-0.0024411278952853888,-0.0005693346255106757
2015-06-01,1.0,1.0,0.0033639890138583706,0.002551442387904057,0.0008125466259543135,0.0023285341323462383
2015-07-01,1.0,1.0,0.008545278766593833,0.014225306602386079,-0.005680027835792245,0.0060881037519743275
2015-08-03,1.0,1.0,0.0001786190096708662,0.00029299759631218336,-0.00011437858664131717,0.0011832776850555504
2015-09-01,1.0,1.0,0.00047350743342855495,-0.02492530773323076,0.025398815166659316,0.006371020965711405
2015-11-02,1.0,1.0,-0.00603845968601513,-0.0009334449519003973,-0.005105014734114732,-0.0008143987783058027
2015-12-01,1.0,1.0,0.00644034611061195,0.003728462417970091,0.002711883692641859,0.009197713474935476
2016-02-01,1.0,1.0,-0.00029476340734402307,-0.007829126899940864,0.007534363492596841,-0.012617350301989405
2016-03-01,1.0,1.0,0.0008428731847229809,8.272268617148804e-05,0.0007601504985514929,-0.006756082196196389
2016-05-02,1.0,1.0,-0.001777504332157065,0.0010513324044785222,-0.002828836736635587,0.005104691488654667
2016-08-01,1.0,1.0,0.002211524985234581,-0.008756457450495803,0.010967982435730383,0.022965706456741453
2017-03-01,1.0,1.0,0.006383631896249575,0.012019074572096056,-0.00563544267584648,0.0009761990752437111
2017-04-03,1.0,1.0,0.0007906972517985889,0.0008305076277497214,-3.981037595113257e-05,-0.004096423667304228
2017-06-01,1.0,1.0,0.003851656726476138,0.002598822555786251,0.0012528341706898871,-0.007291112280919387
2017-07-03,1.0,1.0,0.004021091326101622,0.008060101045736179,-0.0040390097196345565,0.003594837165524112
2017-10-02,1.0,1.0,0.004477545345443756,0.00020505074633381248,0.004272494599109944,0.0009668807547866809
2018-01-02,1.0,1.0,0.004552597072941866,0.005417954241466738,-0.0008653571685248718,-0.012548525532470878
2018-02-01,1.0,1.0,-0.0076738979294097565,-0.004459400548142756,-0.003214497381267001,-0.004574688936393567
2018-03-01,1.0,1.0,0.006643679253547141,0.0005383741880660153,0.006105305065481126,0.001861446354210372
2018-06-01,1.0,1.0,0.0034201424862501106,0.005629939293333219,-0.0022097968070831087,-0.009342345384022899
2018-08-01,1.0,1.0,0.002323596767865199,-0.008687991083116797,0.011011587850981996,0.006702156537939152
2018-09-04,1.0,1.0,-0.0017751671915415823,-0.0030537659920136795,0.0012785988004720972,0.004446802253691651
2018-10-01,1.0,1.0,0.008098806463406882,0.005035770264824269,0.0030630361985826138,-0.007405754935991382
2018-11-01,1.0,1.0,0.01024750577107536,0.00403781432553596,0.0062096914455394,-0.003725578259949902
2019-02-01,1.0,1.0,0.001158257276572261,0.0011222395963803589,3.60176801919021e-05,0.013938862628306903
2019-03-01,1.0,1.0,0.009656443658559777,0.009524196880584812,0.00013224677797496476,-0.004135011540656319
2019-04-01,1.0,1.0,0.014720063030463582,0.010340502260887563,0.004379560769576019,0.006847394327785361
2019-06-03,1.0,1.0,0.0009358596923536577,0.011330032547372193,-0.010394172855018535,0.009797683839087079
2019-07-01,1.0,1.0,-0.01231230801218186,7.052763786052907e-05,-0.01238283565004239,-0.006436107948200487
2019-09-03,1.0,1.0,-0.011038961024979255,0.00841743800951078,-0.019456399034490035,-0.01093195417971482
2019-10-01,1.0,1.0,-0.005760695766523716,0.006905566334900248,-0.012666262101423964,0.027458707913893265
2019-11-01,1.0,1.0,0.009449339755665642,-0.0015445199271675314,0.010993859682833174,0.010918199697080855
2020-02-03,1.0,1.0,0.005428967009099672,0.0030446146371114757,0.0023843523719881965,0.0002379545171431463
2020-03-02,1.0,1.0,0.010917880198662466,0.011339460621561326,-0.00042158042289885955,-0.031298587097441044
2020-06-01,1.0,1.0,-0.0039659255660216,6.13498656392153e-05,-0.004027275431660815,0.010295786631376647
2020-08-03,1.0,1.0,0.006094955036824112,0.009381879991799957,-0.003286924954975845,0.0011750503160472547
2020-09-01,1.0,1.0,0.009291631383570031,0.008007297984256256,0.001284333399313775,-0.004026029523515495
2020-10-01,1.0,1.0,0.013591064528756691,0.014216609635402389,-0.0006255451066456974,0.0060761270961271485
2021-01-04,1.0,1.0,0.011609254948658165,0.006487735324171462,0.005121519624486703,0.0007007356004874454
2021-06-01,1.0,1.0,0.002130225437952493,0.019728150319992643,-0.01759792488204015,-0.02321812667468881
2021-07-01,1.0,1.0,0.0015895924501465597,0.006158238142862649,-0.004568645692716089,0.0017019038138589293
2021-11-01,1.0,1.0,0.009918242540830402,0.0034846583439407386,0.006433584196889663,0.012910566861433104
2022-01-03,1.0,1.0,0.006730550603636587,0.001441694361843382,0.005288856241793205,-0.016447698753842888
2022-02-01,1.0,1.0,-0.00591642561665251,0.009781587547762038,-0.015698013164414548,0.04325870649374419
2022-07-01,1.0,1.0,0.0025264402733387037,0.012166174869260749,-0.009639734595922045,-0.002280853882533851
2022-08-01,1.0,1.0,-0.01708755675150786,-2.3890843991236643e-05,-0.017063665907516623,-0.0036325735942585036
2022-09-01,1.0,1.0,-0.0006081720852654238,-0.014782539335319922,0.014174367250054498,0.009839155350738094
2022-10-03,1.0,1.0,0.03596225070859682,0.00207142056603149,0.03389083014256533,0.019713352693621733
2023-02-01,1.0,1.0,0.0049544934154250875,-0.00467029856976775,0.009624791985192838,0.062040221351903346
2023-05-01,1.0,1.0,-0.0007955845651163029,0.004003541132599153,-0.004799125697715456,-0.0036334350183846453
2023-07-03,1.0,1.0,0.001759433578027103,-0.00017252604230855173,0.0019319596203356548,0.0025503982824850446
2023-08-01,1.0,1.0,-0.009153847674634896,-0.0035706285904271162,-0.00558321908420778,0.00862373463384114
2023-09-01,1.0,1.0,0.011021367986125519,0.006677709370956686,0.004343658615168833,0.01338971108044762
2023-11-01,1.0,1.0,-0.0009777428397080845,0.0063387741521010454,-0.00731651699180913,0.006456787954018051
2023-12-01,1.0,1.0,-0.002423609903040025,0.0003178678600992413,-0.002741477763139266,-0.0005808057874903128
2024-01-02,1.0,1.0,-0.016924241324815625,-0.010970346801372988,-0.005953894523442638,-0.0024232375840467224
2024-05-01,1.0,1.0,0.005144719034315237,-0.01859912715546863,0.023743846189783868,0.019372836308576336
2024-07-01,1.0,1.0,0.002497576730474904,0.001116252729155942,0.001381324001318962,0.005813930616879848
2024-09-03,1.0,1.0,-0.0027650123722798847,-0.008397895431279334,0.005632883058999449,0.01677097720952292
2024-10-01,1.0,1.0,0.008804408010958609,0.00022379994026611172,0.008580608070692497,0.023039118418142546
2024-11-01,1.0,1.0,0.0030681075571936667,0.003234615368178817,-0.00016650781098515033,0.015178762701573145
2025-03-03,1.0,1.0,0.006837157236533331,0.013439990474036989,-0.006602833237503658,0.03818922014267201
2025-07-01,1.0,1.0,-0.00837876564782103,0.012236365025209972,-0.020615130673031,0.007160069879978859
2025-10-01,1.0,1.0,0.0019692581782635443,-0.006417848319103081,0.008387106497366625,-0.02623018708034608
2025-11-03,1.0,1.0,0.012559146554758094,0.002146062575792307,0.010413083978965787,-0.006155293988656885
2025-12-01,1.0,1.0,0.0070382088129929965,-0.013041698763325615,0.020079907576318612,-0.01603037105817029
2026-03-02,1.0,1.0,0.03308311969519129,0.013126627604166607,0.01995649209102468,-0.012432255960273086
2026-05-01,1.0,1.0,-0.006436373393325923,-0.009891071562210363,0.0034546981688844403,0.019434653926565182
