window,cost_bps,gross_cagr,net_cagr,gross_sharpe,net_sharpe,net_max_dd,net_vol,exposure,cost_drag_bps_yr,n_rebalances,spec,n_nights
full,2.0,0.0471972797582072,0.03722273375515295,0.5291116609956209,0.4292365177131839,-0.28814386705720696,0.09611280817089751,0.28523862375138737,95.68730886850234,514.0,turn_of_month_spy,
half1_2005_2015,2.0,0.03189324404476457,0.022060543241326558,0.36413294452061246,0.26843869810151383,-0.28814386705720696,0.1001627818623691,0.28494041170097506,95.7257100149473,263.0,turn_of_month_spy,
half2_2016_2026,2.0,0.064759292709754,0.05457093586878381,0.7329021367486908,0.6274328783566654,-0.1388236400079036,0.09159019799869687,0.28517254455821006,96.12845953002575,252.0,turn_of_month_spy,
full,10.0,0.0471972797582072,-0.0017726509944031577,0.5291116609956209,0.030121544498746045,-0.3602775670150551,0.09656887258007021,0.28523862375138737,478.43654434250794,514.0,turn_of_month_spy,
half1_2005_2015,10.0,0.03189324404476457,-0.016379931522468305,0.36413294452061246,-0.11358942772825587,-0.32351234092062553,0.1005831004910527,0.28494041170097506,478.6285500747387,263.0,turn_of_month_spy,
half2_2016_2026,10.0,0.064759292709754,0.014744035791247834,0.7329021367486908,0.20541796299303108,-0.16248255982963644,0.09209347785935951,0.28517254455821006,480.6422976501309,252.0,turn_of_month_spy,
full,20.0,0.0471972797582072,-0.04854402025464133,0.5291116609956209,-0.45972667158393343,-0.6877549224164983,0.09793667315435574,0.28523862375138737,956.8730886850159,514.0,turn_of_month_spy,
half1_2005_2015,20.0,0.03189324404476457,-0.06248494021243356,0.36413294452061246,-0.5822434342197139,-0.5364906258792113,0.1018750969429017,0.28494041170097506,957.2571001494774,263.0,turn_of_month_spy,
half2_2016_2026,20.0,0.064759292709754,-0.03301517188610925,0.7329021367486908,-0.31282830096319536,-0.33054384174493023,0.09356140077168464,0.28517254455821006,961.2845953002618,252.0,turn_of_month_spy,
full,0.0,,0.11614280318987014,,0.9438782142432942,-0.27431778549433095,0.12495987553141048,1.0,,,overnight_qqq,5405.0
half1_2005_2015,0.0,,0.10763840611521291,,0.9609271771438137,-0.24680052708361377,0.11315122034922971,1.0,,,overnight_qqq,2768.0
half2_2016_2026,0.0,,0.12522031295951797,,0.9364802534182697,-0.27431778549433117,0.1362779356725109,1.0,,,overnight_qqq,2637.0
full,1.0,,0.06137580729545977,,0.5404882397115303,-0.30821257207941555,0.124934884805903,1.0,,,overnight_qqq,5405.0
half1_2005_2015,1.0,,0.053221305696312005,,0.515438733868255,-0.2902398281880634,0.11312859123667211,1.0,,,overnight_qqq,2768.0
half2_2016_2026,1.0,,0.07003748574377755,,0.56659234192802,-0.30821257207941577,0.13625068144815572,1.0,,,overnight_qqq,2637.0
full,2.0,,0.00929104450074325,,0.13697721792575565,-0.35309627474816496,0.12490989657959294,1.0,,,overnight_qqq,5405.0
half1_2005_2015,2.0,,0.0014726138512781706,,0.06981661063990131,-0.3311778264809071,0.11310596438713885,1.0,,,overnight_qqq,2768.0
half2_2016_2026,2.0,,0.017555806012493624,,0.1965934363159403,-0.35309627474816585,0.1362234299493593,1.0,,,overnight_qqq,2637.0
full,10.0,,-0.32529243808547637,,-3.0954744748895378,-0.9997953149183757,0.1247100807402232,1.0,,,overnight_qqq,5405.0
half1_2005_2015,10.0,,-0.3308618597827534,,-3.4999792779843393,-0.9880829233036708,0.11292503105975155,1.0,,,overnight_qqq,2768.0
half2_2016_2026,10.0,,-0.31961691379610824,,-2.7673989312098786,-0.9830325386613246,0.13600551607910158,1.0,,,overnight_qqq,2637.0
full,20.0,,-0.5923452948460013,,-7.146975589099039,-0.9999999957917844,0.12446053586878697,1.0,,,overnight_qqq,5405.0
half1_2005_2015,20.0,,-0.595969312215396,,-7.974301988640254,-0.999952742258335,0.1126990680727142,1.0,,,overnight_qqq,2768.0
half2_2016_2026,20.0,,-0.5888023331829841,,-6.482417598381492,-0.9999109518264623,0.1357333690415635,1.0,,,overnight_qqq,2637.0
full,2.0,0.036308723369586904,0.029730459478801707,0.756368474808074,0.6256386997935042,-0.11794705655574678,0.0488006384679089,0.06326304106548279,63.66743119266046,342.0,pre_fomc_spy,
half1_2005_2015,2.0,0.05189228753065245,0.045174085130256,0.9356885243500548,0.8212289714428853,-0.11794705655574678,0.05569738441899077,0.06356085229324666,64.05979073243628,176.0,pre_fomc_spy,
half2_2016_2026,2.0,0.02026221086406843,0.013820761159091477,0.5197933910369535,0.3615590944507705,-0.10859563366125058,0.04030550532761791,0.06295032233598787,63.322715404699565,167.0,pre_fomc_spy,
full,10.0,0.036308723369586904,0.0038067304178317496,0.756368474808074,0.10169710900061453,-0.3099172527287374,0.04928783700482541,0.06326304106548279,318.33715596330296,342.0,pre_fomc_spy,
half1_2005_2015,10.0,0.05189228753065245,0.018701475229920606,0.9356885243500548,0.35891516925607947,-0.1638626960918954,0.055964534256829956,0.06356085229324666,320.2989536621826,176.0,pre_fomc_spy,
half2_2016_2026,10.0,0.02026221086406843,-0.011565991276059284,0.5197933910369535,-0.2629702551245449,-0.21933564209596867,0.04112482563260139,0.06295032233598787,316.6135770234989,167.0,pre_fomc_spy,
full,20.0,0.036308723369586904,-0.02773804680736358,0.756368474808074,-0.5276272047628872,-0.55454774990521,0.05095736357005441,0.06326304106548279,636.6743119266059,342.0,pre_fomc_spy,
half1_2005_2015,20.0,0.05189228753065245,-0.013505503352731596,0.9356885243500548,-0.20927079239527369,-0.3007947297699207,0.05724980237049197,0.06356085229324666,640.5979073243652,176.0,pre_fomc_spy,
half2_2016_2026,20.0,0.02026221086406843,-0.04246215685261623,0.5197933910369535,-0.9808666284517267,-0.37614186285980244,0.04337887488940132,0.06295032233598787,633.2271540469978,167.0,pre_fomc_spy,
