ticker,first_bar,last_bar,n_bars,median_dv_2010_2017_usd,excluded_reason,in_universe
SPY,2005-01-03,2026-06-30,5406,19838238948.764038,,True
IWM,2005-01-03,2026-07-01,5407,3828680723.083496,,True
QQQ,2005-01-03,2026-07-01,5407,3016196030.8181763,,True
EEM,2005-01-03,2026-07-01,5407,2245945582.862854,,True
GLD,2005-01-03,2026-07-01,5407,1161749693.0786133,,True
EFA,2005-01-03,2026-07-01,5407,1069834237.0513916,,True
XLF,2005-01-03,2026-07-01,5407,1012657047.0521793,,True
XLE,2005-01-03,2026-07-01,5407,1003789422.756958,,True
TLT,2005-01-03,2026-07-01,5407,881839302.4169922,,True
GDX,2006-05-22,2026-07-01,5059,771233950.0,,True
EWZ,2005-01-03,2026-07-01,5407,733278275.0988007,,True
FXI,2005-01-03,2026-07-01,5407,686973395.1919556,,True
IYR,2005-01-03,2026-07-01,5407,571289585.0803375,,True
XLI,2005-01-03,2026-07-01,5407,513317879.7836304,,True
XLU,2005-01-03,2026-07-01,5407,393870308.1386566,,True
XLV,2005-01-03,2026-07-01,5407,379446091.2071228,,True
HYG,2007-04-11,2026-07-01,4837,367541851.19018555,,True
XLP,2005-01-03,2026-07-01,5407,300749276.2561798,,True
USO,2006-04-10,2026-07-01,5088,294687784.38882446,,True
XLK,2005-01-03,2026-07-01,5407,294080334.5603943,,True
EWJ,2005-01-03,2026-07-01,5407,290161374.590683,,True
XLB,2005-01-03,2026-07-01,5407,273735172.2793579,,True
LQD,2005-01-03,2026-07-01,5407,225643431.4300537,,True
IBB,2005-01-03,2026-07-01,5407,190811967.4758911,,True
SLV,2006-04-28,2026-07-01,5075,164929044.59953308,,True
SMH,2005-01-03,2026-07-01,5407,145328362.99209595,,True
AGG,2005-01-03,2026-07-01,5407,140530172.4029541,,True
IEF,2005-01-03,2026-07-01,5407,110155327.60620117,,True
UNG,2007-04-18,2026-07-01,4832,105478880.62286377,,True
TIP,2005-01-03,2026-07-01,5407,86131069.58770752,,True
EWG,2005-01-03,2026-07-01,5407,83781671.97170258,,True
SHY,2005-01-03,2026-07-01,5407,81770732.70492554,,True
FXE,2005-12-12,2026-07-01,5169,76506910.3515625,,True
XBI,2006-02-06,2026-07-01,5132,47426623.45333099,,True
UUP,2007-03-01,2026-07-01,4865,38546368.35632324,,True
DBC,2006-02-06,2026-07-01,5132,37746682.491493225,,True
IEI,2007-01-11,2026-07-01,4898,24821900.61187744,,True
FXY,2007-02-13,2026-07-01,4876,16808000.0,,True
DBA,2007-01-05,2026-07-01,4902,15924803.578948975,,True
UVXY,2011-10-04,2026-07-01,3706,286875008.0,U3 vix/leveraged,False
VNQ,2005-01-03,2026-07-01,5407,208847566.6168213,U4 twin of IYR (lower median $vol),False
BND,2007-04-10,2026-07-01,4838,112723924.15466309,U4 twin of AGG (lower median $vol),False
SHV,2007-01-11,2026-07-01,4898,40597732.78656006,U5 hurdle/cash sleeve,False
XLRE,2015-10-08,2026-07-01,2697,38259509.17854309,U1 first bar 2015-10-08 > 2010-01-04,False
USMV,2011-10-20,2026-07-01,3694,30916152.822875977,U1 first bar 2011-10-20 > 2010-01-04,False
VIXY,2011-01-04,2026-07-01,3895,23594232.0,U3 vix/leveraged,False
VGT,2005-01-03,2026-07-01,5407,22148515.335845947,U4 twin of XLK (lower median $vol),False
SOXX,2005-01-03,2026-07-01,5407,17513400.661468506,U4 twin of SMH (lower median $vol),False
FXA,2006-06-26,2026-07-01,5035,8590196.710968018,U2 median $vol 8.6M < 10M,False
HACK,2014-11-12,2026-07-01,2924,7731388.179016113,U1 first bar 2014-11-12 > 2010-01-04,False
MTUM,2013-04-18,2026-07-01,3321,6875355.100631714,U1 first bar 2013-04-18 > 2010-01-04,False
QUAL,2013-07-18,2026-07-01,3258,5684000.0,U1 first bar 2013-07-18 > 2010-01-04,False
IGV,2005-01-03,2026-07-01,5407,5500127.849578857,U2 median $vol 5.5M < 10M,False
PPLT,2010-01-08,2026-06-30,4143,5277300.224304199,U1 first bar 2010-01-08 > 2010-01-04,False
TAN,2008-04-15,2026-07-01,4582,3525815.9900665283,U2 median $vol 3.5M < 10M,False
KWEB,2013-08-01,2026-07-01,3248,2686039.889526367,U1 first bar 2013-08-01 > 2010-01-04,False
CORN,2010-06-09,2026-07-01,4040,1999711.926651001,U1 first bar 2010-06-09 > 2010-01-04,False
PDBC,2014-11-07,2026-07-01,2927,1155595.493030548,U1 first bar 2014-11-07 > 2010-01-04,False
JETS,2015-04-30,2026-07-01,2809,881972.4707603455,U1 first bar 2015-04-30 > 2010-01-04,False
GBTC,2015-05-11,2026-07-01,2802,716090.3306729794,U1 first bar 2015-05-11 > 2010-01-04,False
VLUE,2013-04-18,2026-07-01,3321,469897.98946380615,U1 first bar 2013-04-18 > 2010-01-04,False
LIT,2010-07-23,2026-07-01,4009,458165.4944419861,U1 first bar 2010-07-23 > 2010-01-04,False
WEAT,2011-09-19,2026-07-01,3717,425540.0,U1 first bar 2011-09-19 > 2010-01-04,False
COPX,2010-04-20,2026-07-01,4075,359264.99450683594,U1 first bar 2010-04-20 > 2010-01-04,False
ICLN,2008-06-25,2026-07-01,4532,251604.00066375732,U2 median $vol 0.3M < 10M,False
SIZE,2013-04-18,2026-07-01,3321,92255.49850463867,U1 first bar 2013-04-18 > 2010-01-04,False
ARKK,2014-10-31,2026-07-01,2932,32437.5,U1 first bar 2014-10-31 > 2010-01-04,False
_VIX,2005-01-03,2026-07-01,5407,0.0,U3 vix/leveraged,False
BITO,2021-10-20,2026-07-01,1178,,U1 first bar 2021-10-20 > 2010-01-04,False
