,EEM,LQD,SHY,EFA,SPY,IEF,AGG
2018-01-05,1.0,,,,,,
2018-01-12,0.75,0.25,,,,,
2018-01-19,0.75,,0.25,,,,
2018-01-26,0.75,0.25,,,,,
2018-02-02,0.75,,0.25,,,,
2018-02-09,,,1.0,,,,
2018-02-16,0.75,,0.25,,,,
2018-02-23,0.5,,0.5,,,,
2018-03-02,0.25,,0.75,,,,
2018-03-09,0.75,,0.25,,,,
2018-03-16,0.75,,0.25,,,,
2018-03-23,,,1.0,,,,
2018-03-29,1.0,,,,,,
2018-04-06,,,1.0,,,,
2018-04-13,,,0.75,0.25,,,
2018-04-20,,,0.5,0.5,,,
2018-04-27,,,0.5,0.5,,,
2018-05-04,,,0.5,,0.5,,
2018-05-11,,,0.25,,0.75,,
2018-05-18,,,0.5,,0.5,,
2018-05-25,,,0.5,,0.5,,
2018-06-01,,,0.25,,0.75,,
2018-06-08,,,0.75,,0.25,,
2018-06-15,,,,,0.5,0.5,
2018-06-22,,,,,0.25,0.75,
2018-06-29,,,0.75,,0.25,,
2018-07-06,,,,,0.5,0.5,
2018-07-13,,,,,0.5,0.5,
2018-07-20,,0.25,,,0.75,,
2018-07-27,,,,,1.0,,
2018-08-03,,0.5,,,0.5,,
2018-08-10,,,,,0.5,0.5,
2018-08-17,,0.5,,,0.5,,
2018-08-24,,,,,0.5,0.5,
2018-08-31,,,,,0.5,0.5,
2018-09-07,,,0.5,,0.5,,
2018-09-14,,0.5,,,0.5,,
2018-09-21,,,0.5,,0.5,,
2018-09-28,,,0.5,,0.5,,
2018-10-05,,,0.75,,0.25,,
2018-10-12,,,1.0,,,,
2018-10-19,,,1.0,,,,
2018-10-26,,,1.0,,,,
2018-11-02,,,1.0,,,,
2018-11-09,,,0.75,,0.25,,
2018-11-16,,,,,,0.75,0.25
2018-11-23,,,1.0,,,,
2018-11-30,,,,,,0.75,0.25
2018-12-07,,,,,,0.75,0.25
2018-12-14,,,,,,0.75,0.25
2018-12-21,,,,,,0.75,0.25
2018-12-28,,,,,,0.75,0.25
2019-01-04,,,,,,0.75,0.25
2019-01-11,,,,,,0.5,0.5
2019-01-18,1.0,,,,,,
2019-01-25,1.0,,,,,,
2019-02-01,1.0,,,,,,
2019-02-08,,0.25,,,0.75,,
2019-02-15,,,,,1.0,,
2019-02-22,,,,,1.0,,
2019-03-01,,0.25,,,0.75,,
2019-03-08,,0.25,,0.75,,,
2019-03-15,,,,1.0,,,
2019-03-22,,,,,1.0,,
2019-03-29,,,,,1.0,,
2019-04-05,1.0,,,,,,
2019-04-12,,,,,1.0,,
2019-04-18,,,,,1.0,,
2019-04-26,,,,,1.0,,
2019-05-03,,,,,1.0,,
2019-05-10,,,,,0.75,0.25,
2019-05-17,,,,,,0.5,0.5
2019-05-24,,,,,,0.75,0.25
2019-05-31,,,,,,0.75,0.25
2019-06-07,,0.25,,,,,0.75
2019-06-14,,0.25,,,,,0.75
2019-06-21,,,,,1.0,,
2019-06-28,,,,,1.0,,
2019-07-05,,,,,1.0,,
2019-07-12,,,,,1.0,,
2019-07-19,,0.25,,,0.75,,
2019-07-26,,0.25,,,0.75,,
2019-08-02,,0.5,,,,,0.5
2019-08-09,,0.5,,,,,0.5
2019-08-16,,0.75,,,,,0.25
2019-08-23,,0.75,,,,,0.25
2019-08-30,,0.5,,,,,0.5
2019-09-06,,,,,1.0,,
2019-09-13,1.0,,,,,,
2019-09-20,,,,1.0,,,
2019-09-27,,0.25,,0.75,,,
2019-10-04,,0.75,,,,,0.25
2019-10-11,,0.25,,,,,0.75
2019-10-18,,,,,,,1.0
2019-10-25,1.0,,,,,,
2019-11-01,,,,1.0,,,
2019-11-08,1.0,,,,,,
2019-11-15,,,,,1.0,,
2019-11-22,,,,,1.0,,
2019-11-29,,,,,1.0,,
2019-12-06,,,,,1.0,,
2019-12-13,,,,,1.0,,
2019-12-20,1.0,,,,,,
2019-12-27,1.0,,,,,,
2020-01-03,1.0,,,,,,
2020-01-10,1.0,,,,,,
2020-01-17,,,,,1.0,,
2020-01-24,,,,,1.0,,
2020-01-31,,0.5,,,0.5,,
2020-02-07,,0.25,,,0.75,,
2020-02-14,,,,,1.0,,
2020-02-21,,0.25,,,0.75,,
2020-02-28,,,,,,0.75,0.25
2020-03-06,,,,,,0.75,0.25
2020-03-13,,,,,,1.0,
2020-03-20,,,,,,1.0,
2020-03-27,,,,,,0.75,0.25
2020-04-03,,,,,,1.0,
2020-04-09,,0.25,,,,,0.75
2020-04-17,,,,,1.0,,
2020-04-24,,0.5,,,,,0.5
2020-05-01,,0.5,,,0.5,,
2020-05-08,,,,,,0.5,0.5
2020-05-15,,,,,,0.75,0.25
2020-05-22,,,,,,0.5,0.5
2020-05-29,,,,,0.75,0.25,
2020-06-05,,,,,1.0,,
2020-06-12,,,,1.0,,,
2020-06-19,,,,,1.0,,
2020-06-26,1.0,,,,,,
2020-07-02,1.0,,,,,,
2020-07-10,1.0,,,,,,
2020-07-17,1.0,,,,,,
2020-07-24,1.0,,,,,,
2020-07-31,1.0,,,,,,
2020-08-07,,,,,1.0,,
2020-08-14,,,,,1.0,,
2020-08-21,,,,,1.0,,
2020-08-28,,,,,1.0,,
2020-09-04,,,,,1.0,,
2020-09-11,1.0,,,,,,
2020-09-18,1.0,,,,,,
2020-09-25,1.0,,,,,,
2020-10-02,1.0,,,,,,
2020-10-09,,,,,1.0,,
2020-10-16,,,,,1.0,,
2020-10-23,1.0,,,,,,
2020-10-30,0.5,,0.5,,,,
2020-11-06,1.0,,,,,,
2020-11-13,1.0,,,,,,
2020-11-20,1.0,,,,,,
2020-11-27,,,,1.0,,,
2020-12-04,1.0,,,,,,
2020-12-11,1.0,,,,,,
2020-12-18,1.0,,,,,,
2020-12-24,1.0,,,,,,
2020-12-31,1.0,,,,,,
2021-01-08,1.0,,,,,,
2021-01-15,0.75,0.25,,,,,
2021-01-22,0.75,,0.25,,,,
2021-01-29,0.75,,0.25,,,,
2021-02-05,0.75,,0.25,,,,
2021-02-12,0.75,,0.25,,,,
2021-02-19,0.75,,0.25,,,,
2021-02-26,0.75,,0.25,,,,
2021-03-05,,,0.25,0.75,,,
2021-03-12,,,0.25,,0.75,,
2021-03-19,,,0.25,,0.75,,
2021-03-26,,,0.25,,0.75,,
2021-04-01,,,0.25,,0.75,,
2021-04-09,,,0.25,,0.75,,
2021-04-16,,,,,1.0,,
2021-04-23,,0.25,,,0.75,,
2021-04-30,,,0.25,,0.75,,
2021-05-07,,0.25,,0.75,,,
2021-05-14,,,0.25,,0.75,,
2021-05-21,,,0.25,0.75,,,
2021-05-28,,0.25,,0.75,,,
2021-06-04,1.0,,,,,,
2021-06-11,,,,1.0,,,
2021-06-18,,,,,1.0,,
2021-06-25,,,,,1.0,,
2021-07-02,,,,,1.0,,
2021-07-09,,0.25,,,0.75,,
2021-07-16,,,,,1.0,,
2021-07-23,,0.25,,,0.75,,
2021-07-30,,0.25,,,0.75,,
2021-08-06,,0.25,,,0.75,,
2021-08-13,,0.25,,,0.75,,
2021-08-20,,0.25,,,0.75,,
2021-08-27,,0.25,,,0.75,,
2021-09-03,,,,,1.0,,
2021-09-10,,,,,1.0,,
2021-09-17,,,,,1.0,,
2021-09-24,,0.25,,,0.75,,
2021-10-01,,,0.75,,0.25,,
2021-10-08,,,0.75,,0.25,,
2021-10-15,,,0.25,,0.75,,
2021-10-22,,,0.25,,0.75,,
2021-10-29,,0.25,,,0.75,,
2021-11-05,,0.25,,,0.75,,
2021-11-12,,0.25,,,0.75,,
2021-11-19,,0.25,,,0.75,,
2021-11-26,,,,,0.25,0.75,
2021-12-03,,,,,0.5,0.5,
2021-12-10,,,,,0.25,0.75,
2021-12-17,,,,,0.5,0.5,
2021-12-23,,,,,0.75,0.25,
2021-12-31,,,0.5,,0.5,,
2022-01-07,,,0.5,,0.5,,
2022-01-14,,,0.25,,0.75,,
2022-01-21,,,1.0,,,,
2022-01-28,,,1.0,,,,
2022-02-04,,,1.0,,,,
2022-02-11,,,1.0,,,,
2022-02-18,,,1.0,,,,
2022-02-25,,,0.75,,0.25,,
2022-03-04,,,,,,1.0,
2022-03-11,,,1.0,,,,
2022-03-18,,,0.75,,0.25,,
2022-03-25,,,0.75,,0.25,,
2022-04-01,,,0.5,,0.5,,
2022-04-08,,,0.5,,0.5,,
2022-04-14,,,1.0,,,,
2022-04-22,,,1.0,,,,
2022-04-29,,,1.0,,,,
2022-05-06,,,1.0,,,,
2022-05-13,,,1.0,,,,
2022-05-20,,,1.0,,,,
2022-05-27,,,1.0,,,,
2022-06-03,,,0.75,0.25,,,
2022-06-10,0.25,,0.75,,,,
2022-06-17,,,1.0,,,,
2022-06-24,,,1.0,,,,
2022-07-01,,,1.0,,,,
2022-07-08,,,1.0,,,,
2022-07-15,,,,,,1.0,
2022-07-22,,,,,,0.75,0.25
2022-07-29,,0.25,,,0.75,,
2022-08-05,,,,,0.75,0.25,
2022-08-12,,0.25,,,0.75,,
2022-08-19,,,0.75,,0.25,,
2022-08-26,,,1.0,,,,
2022-09-02,,,1.0,,,,
2022-09-09,,,1.0,,,,
2022-09-16,,,1.0,,,,
2022-09-23,,,1.0,,,,
2022-09-30,,,1.0,,,,
2022-10-07,,,1.0,,,,
2022-10-14,,,1.0,,,,
2022-10-21,,,1.0,,,,
2022-10-28,,,0.5,,0.5,,
2022-11-04,,,0.75,0.25,,,
2022-11-11,,0.25,,0.75,,,
2022-11-18,,,,1.0,,,
2022-11-25,,,,1.0,,,
2022-12-02,,,,1.0,,,
2022-12-09,,0.25,,0.75,,,
2022-12-16,,0.5,,0.5,,,
2022-12-23,,0.25,,0.75,,,
2022-12-30,,,0.75,0.25,,,
2023-01-06,,,0.25,0.75,,,
2023-01-13,,,,1.0,,,
2023-01-20,,,,1.0,,,
2023-01-27,1.0,,,,,,
2023-02-03,,,,1.0,,,
2023-02-10,,,0.5,0.5,,,
2023-02-17,,,0.5,0.5,,,
2023-02-24,,,1.0,,,,
2023-03-03,,,0.75,0.25,,,
2023-03-10,,,1.0,,,,
2023-03-17,,,,,,0.75,0.25
2023-03-24,,,,,,,1.0
2023-03-31,,,,1.0,,,
2023-04-06,,,,1.0,,,
2023-04-14,,,,1.0,,,
2023-04-21,,,,1.0,,,
2023-04-28,,0.25,,0.75,,,
2023-05-05,,,,1.0,,,
2023-05-12,,,,0.75,,0.25,
2023-05-19,,,0.25,,0.75,,
2023-05-26,,,0.25,,0.75,,
2023-06-02,,,0.25,,0.75,,
2023-06-09,,,0.25,,0.75,,
2023-06-16,,,,,1.0,,
2023-06-23,,,,,1.0,,
2023-06-30,,0.25,,,0.75,,
2023-07-07,,,0.25,,0.75,,
2023-07-14,,0.25,,,0.75,,
2023-07-21,,0.25,,,0.75,,
2023-07-28,,,0.25,,0.75,,
2023-08-04,,,0.25,,0.75,,
2023-08-11,,,0.75,,0.25,,
2023-08-18,,,1.0,,,,
2023-08-25,,,0.75,,0.25,,
2023-09-01,,,0.5,,0.5,,
2023-09-08,,,0.75,,0.25,,
2023-09-15,,,0.25,,0.75,,
2023-09-22,,,0.5,0.5,,,
2023-09-29,,,1.0,,,,
2023-10-06,,,1.0,,,,
2023-10-13,,,1.0,,,,
2023-10-20,,,1.0,,,,
2023-10-27,,,1.0,,,,
2023-11-03,,,,,1.0,,
2023-11-10,,,0.25,,0.75,,
2023-11-17,,,,,1.0,,
2023-11-24,,,,,1.0,,
2023-12-01,,,,,1.0,,
2023-12-08,,,,,1.0,,
2023-12-15,,,,,1.0,,
2023-12-22,,,,,1.0,,
2023-12-29,,,,,1.0,,
2024-01-05,,,,,1.0,,
2024-01-12,,,,,1.0,,
2024-01-19,,0.25,,,0.75,,
2024-01-26,,0.25,,,0.75,,
2024-02-02,,0.25,,,0.75,,
2024-02-09,,,,,1.0,,
2024-02-16,,,,,1.0,,
2024-02-23,,,,,1.0,,
2024-03-01,,,,,1.0,,
2024-03-08,,,,1.0,,,
2024-03-15,,,,,1.0,,
2024-03-22,,,,,1.0,,
2024-03-28,,,,,1.0,,
2024-04-05,,,0.25,,0.75,,
2024-04-12,,,0.25,,0.75,,
2024-04-19,,,0.75,,0.25,,
2024-04-26,0.75,,0.25,,,,
2024-05-03,1.0,,,,,,
2024-05-10,1.0,,,,,,
2024-05-17,1.0,,,,,,
2024-05-24,,,,,1.0,,
2024-05-31,,,,,1.0,,
2024-06-07,,,,,1.0,,
2024-06-14,,0.25,,,0.75,,
2024-06-21,,,,,1.0,,
2024-06-28,,,,,1.0,,
2024-07-05,,,,,1.0,,
2024-07-12,,,,,1.0,,
2024-07-19,,,,,1.0,,
2024-07-26,,,,,1.0,,
2024-08-02,,,,,,0.5,0.5
2024-08-09,,,,,,0.75,0.25
2024-08-16,,,,,1.0,,
2024-08-23,,,,,1.0,,
2024-08-30,,,,,1.0,,
2024-09-06,,,,,,,1.0
2024-09-13,,,,,1.0,,
2024-09-20,,,,,1.0,,
2024-09-27,1.0,,,,,,
2024-10-04,1.0,,,,,,
2024-10-11,1.0,,,,,,
2024-10-18,1.0,,,,,,
2024-10-25,,,0.5,,0.5,,
2024-11-01,,,0.5,,0.5,,
2024-11-08,,0.25,,,0.75,,
2024-11-15,,,0.75,,0.25,,
2024-11-22,,,0.5,,0.5,,
2024-11-29,,0.5,,,0.5,,
2024-12-06,,0.25,,,0.75,,
2024-12-13,,,,,1.0,,
2024-12-20,,,0.75,,0.25,,
2024-12-27,,,0.75,,0.25,,
2025-01-03,,,0.75,,0.25,,
2025-01-10,,,1.0,,,,
2025-01-17,,,0.75,,0.25,,
2025-01-24,,,,,1.0,,
2025-01-31,,,,,1.0,,
2025-02-07,,,,,1.0,,
2025-02-14,,,,1.0,,,
2025-02-21,1.0,,,,,,
2025-02-28,,,,1.0,,,
2025-03-07,,,0.25,0.75,,,
2025-03-14,,,,0.75,,0.25,
2025-03-21,,,,0.75,,0.25,
2025-03-28,,,0.25,0.75,,,
2025-04-04,,,,,,0.75,0.25
2025-04-11,,,0.75,,,,0.25
2025-04-17,,,0.75,,,,0.25
2025-04-25,,,,0.5,,0.5,
2025-05-02,,,,1.0,,,
2025-05-09,,,,1.0,,,
2025-05-16,1.0,,,,,,
2025-05-23,,,0.25,0.75,,,
2025-05-30,,,,1.0,,,
2025-06-06,,,,1.0,,,
2025-06-13,,,,1.0,,,
2025-06-20,1.0,,,,,,
2025-06-27,1.0,,,,,,
2025-07-03,1.0,,,,,,
2025-07-11,1.0,,,,,,
2025-07-18,1.0,,,,,,
2025-07-25,1.0,,,,,,
2025-08-01,1.0,,,,,,
2025-08-08,1.0,,,,,,
2025-08-15,,,,1.0,,,
2025-08-22,1.0,,,,,,
2025-08-29,1.0,,,,,,
2025-09-05,1.0,,,,,,
2025-09-12,1.0,,,,,,
2025-09-19,1.0,,,,,,
2025-09-26,1.0,,,,,,
2025-10-03,1.0,,,,,,
2025-10-10,1.0,,,,,,
2025-10-17,1.0,,,,,,
2025-10-24,1.0,,,,,,
2025-10-31,1.0,,,,,,
2025-11-07,1.0,,,,,,
2025-11-14,1.0,,,,,,
2025-11-21,1.0,,,,,,
2025-11-28,,,,,1.0,,
2025-12-05,,,,,1.0,,
2025-12-12,,,,,1.0,,
2025-12-19,,,,1.0,,,
2025-12-26,,,,1.0,,,
2025-12-30,,,,1.0,,,
